               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16379,           0.0078566,                   0,          4.2355e-06,           0.0012706,           2.121e-06,           2.121e-07,             0.14544,           0.0026884,                   0,            0.070076,           0.0033249,           0.0033249
                   1,             0.13973,           0.0044479,                   0,            0.001131,             0.31512,            0.013502,           0.0024466,              0.1365,           0.0039514,                   0,            0.039944,           0.0065264,           0.0065264
                   2,             0.13253,           0.0049911,                   0,            0.078183,            0.081321,            0.018082,            0.003475,               0.128,           0.0051425,                   0,           0.0096801,           0.0095959,           0.0095959
                   3,             0.12948,           0.0048525,                   0,             0.16416,             0.12961,             0.04907,           0.0089567,             0.12112,           0.0053531,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.12495,            0.005017,                   0,             0.16622,            0.082592,            0.035442,           0.0061656,             0.12284,           0.0052633,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.12321,           0.0052236,                   0,              0.2036,             0.19568,             0.09561,            0.019735,             0.11137,           0.0061228,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.12091,           0.0051305,                   0,             0.21327,             0.17408,             0.10285,             0.02179,             0.11094,           0.0058494,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.11776,           0.0054514,                   0,             0.20889,             0.15121,            0.085686,            0.016285,             0.11201,           0.0055692,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.11576,           0.0053745,                   0,             0.17012,             0.17281,            0.064543,            0.012636,             0.11212,           0.0057361,                   0,            0.008614,            0.008614,            0.008614
                   9,              0.1134,           0.0056683,                   0,             0.32514,             0.24733,             0.18103,            0.043887,             0.10581,           0.0060646,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.10943,           0.0057398,                   0,             0.42847,             0.27054,             0.21648,             0.05854,             0.10451,           0.0059932,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.10536,           0.0060092,                   0,             0.46064,             0.32121,             0.25835,            0.062995,            0.097461,           0.0062692,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.10467,           0.0059466,                   0,             0.55924,             0.33291,             0.31243,            0.084106,            0.094834,           0.0063883,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.10364,           0.0060307,                   0,             0.45652,             0.36468,             0.28946,            0.079831,            0.095317,           0.0060349,                   0,            0.007624,            0.007624,            0.007624
                  14,              0.1018,           0.0060579,                   0,             0.53638,              0.3507,             0.35355,            0.098445,            0.091793,             0.00653,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.10042,           0.0061978,                   0,             0.54752,              0.3939,             0.33321,            0.094489,            0.090082,           0.0063518,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.097724,           0.0062823,                   0,             0.56362,             0.38374,              0.3663,             0.09687,              0.0907,           0.0062293,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.096902,           0.0060936,                   0,             0.61511,             0.39644,             0.39114,             0.11715,            0.087474,           0.0062928,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.096044,           0.0059103,                   0,              0.6493,             0.40661,             0.39658,             0.11967,            0.086323,           0.0063694,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.093538,           0.0060218,                   0,              0.5572,             0.40407,             0.37796,             0.10525,             0.08697,           0.0061508,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.092883,           0.0061271,                   0,             0.70674,             0.44401,              0.4621,             0.13831,            0.084637,           0.0061843,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.090894,           0.0061879,                   0,             0.65195,             0.45362,             0.47046,             0.14275,             0.08427,           0.0060599,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.090332,           0.0062456,                   0,             0.68811,               0.446,             0.45707,             0.13721,            0.085179,           0.0058406,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.090024,           0.0060202,                   0,              0.6466,              0.4155,             0.42325,             0.13444,            0.084611,           0.0057796,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.088853,           0.0058623,                   0,             0.68616,             0.45005,             0.46099,             0.13669,            0.083565,           0.0057099,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.086706,           0.0061317,                   0,             0.69859,             0.43586,             0.48715,             0.14823,            0.081355,           0.0060953,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.088309,           0.0060087,                   0,             0.66467,             0.45839,             0.44409,             0.13193,            0.082259,           0.0059684,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.086732,           0.0060198,                   0,             0.72269,             0.49428,              0.5184,             0.16268,            0.078899,           0.0056552,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.08264,           0.0059009,                   0,             0.67986,             0.53621,             0.54272,             0.17024,            0.078666,           0.0057141,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.082163,           0.0060349,                   0,             0.74988,             0.53367,              0.5582,             0.18517,            0.077449,           0.0056665,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.083413,           0.0057628,                   0,              0.7212,             0.49809,             0.55416,             0.17163,            0.077843,           0.0055877,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.082366,           0.0058411,                   0,             0.69664,             0.52815,             0.53465,             0.18122,             0.07664,            0.005605,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.080271,           0.0060714,                   0,             0.66958,             0.52859,             0.53995,             0.18597,            0.076915,           0.0054265,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.079549,           0.0059134,                   0,             0.75228,             0.52865,             0.58063,             0.18899,            0.075474,           0.0054599,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.079962,            0.005841,                   0,             0.70149,             0.54511,             0.58222,             0.19171,            0.074149,           0.0054792,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.07877,           0.0057769,                   0,             0.81569,             0.52986,             0.60312,              0.2049,            0.073639,           0.0053023,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.077868,           0.0059223,                   0,             0.69992,             0.50572,             0.54809,             0.18942,            0.074049,           0.0054838,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.076892,           0.0058678,                   0,             0.74065,             0.56244,             0.60298,             0.20101,            0.073475,           0.0052324,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.075306,           0.0058906,                   0,             0.78008,             0.58143,             0.63575,             0.21542,            0.071442,           0.0052953,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.074345,            0.005784,                   0,             0.78735,              0.5629,             0.60113,             0.21211,            0.071184,            0.005234,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.075043,            0.005875,                   0,             0.76473,             0.59888,             0.63109,             0.21907,             0.07128,           0.0053031,                   0,            0.002278,            0.002278,            0.002278
